Date,SKU_ID,Units_Sold
2024-01-01,SKU_1,81
2024-01-02,SKU_1,79
2024-01-03,SKU_1,126
2024-01-04,SKU_1,105
2024-01-05,SKU_1,102
2024-01-06,SKU_1,112
2024-01-07,SKU_1,109
2024-01-08,SKU_1,101
2024-01-09,SKU_1,122
2024-01-10,SKU_1,132
2024-01-11,SKU_1,115
2024-01-12,SKU_1,105
2024-01-13,SKU_1,125
2024-01-14,SKU_1,113
2024-01-15,SKU_1,97
2024-01-16,SKU_1,131
2024-01-17,SKU_1,121
2024-01-18,SKU_1,118
2024-01-19,SKU_1,130
2024-01-20,SKU_1,115
2024-01-21,SKU_1,130
2024-01-22,SKU_1,110
2024-01-23,SKU_1,131
2024-01-24,SKU_1,118
2024-01-25,SKU_1,104
2024-01-26,SKU_1,129
2024-01-27,SKU_1,116
2024-01-28,SKU_1,115
2024-01-29,SKU_1,125
2024-01-30,SKU_1,123
2024-01-31,SKU_1,109
2024-02-01,SKU_1,141
2024-02-02,SKU_1,121
2024-02-03,SKU_1,114
2024-02-04,SKU_1,118
2024-02-05,SKU_1,131
2024-02-06,SKU_1,120
2024-02-07,SKU_1,134
2024-02-08,SKU_1,133
2024-02-09,SKU_1,120
2024-02-10,SKU_1,124
2024-02-11,SKU_1,132
2024-02-12,SKU_1,142
2024-02-13,SKU_1,167
2024-02-14,SKU_1,130
2024-02-15,SKU_1,140
2024-02-16,SKU_1,131
2024-02-17,SKU_1,127
2024-02-18,SKU_1,126
2024-02-19,SKU_1,136
2024-02-20,SKU_1,127
2024-02-21,SKU_1,132
2024-02-22,SKU_1,152
2024-02-23,SKU_1,150
2024-02-24,SKU_1,136
2024-02-25,SKU_1,139
2024-02-26,SKU_1,136
2024-02-27,SKU_1,136
2024-02-28,SKU_1,136
2024-02-29,SKU_1,156
2024-03-01,SKU_1,138
2024-03-02,SKU_1,143
2024-03-03,SKU_1,143
2024-03-04,SKU_1,135
2024-03-05,SKU_1,148
2024-03-06,SKU_1,147
2024-03-07,SKU_1,152
2024-03-08,SKU_1,162
2024-03-09,SKU_1,158
2024-03-10,SKU_1,172
2024-03-11,SKU_1,140
2024-03-12,SKU_1,137
2024-03-13,SKU_1,150
2024-03-14,SKU_1,138
2024-03-15,SKU_1,146
2024-03-16,SKU_1,149
2024-03-17,SKU_1,142
2024-03-18,SKU_1,138
2024-03-19,SKU_1,147
2024-03-20,SKU_1,131
2024-03-21,SKU_1,143
2024-03-22,SKU_1,140
2024-03-23,SKU_1,147
2024-03-24,SKU_1,177
2024-03-25,SKU_1,156
2024-03-26,SKU_1,163
2024-03-27,SKU_1,145
2024-03-28,SKU_1,155
2024-03-29,SKU_1,156
2024-03-30,SKU_1,177
2024-03-31,SKU_1,143
2024-04-01,SKU_1,174
2024-04-02,SKU_1,156
2024-04-03,SKU_1,146
2024-04-04,SKU_1,157
2024-04-05,SKU_1,159
2024-04-06,SKU_1,139
2024-04-07,SKU_1,167
2024-04-08,SKU_1,182
2024-04-09,SKU_1,160
2024-04-10,SKU_1,154
2024-04-11,SKU_1,183
2024-04-12,SKU_1,154
2024-04-13,SKU_1,135
2024-04-14,SKU_1,144
2024-04-15,SKU_1,139
2024-04-16,SKU_1,143
2024-04-17,SKU_1,133
2024-04-18,SKU_1,150
2024-04-19,SKU_1,143
2024-04-20,SKU_1,138
2024-04-21,SKU_1,152
2024-04-22,SKU_1,142
2024-04-23,SKU_1,149
2024-04-24,SKU_1,160
2024-04-25,SKU_1,157
2024-04-26,SKU_1,155
2024-04-27,SKU_1,166
2024-04-28,SKU_1,138
2024-04-29,SKU_1,148
2024-04-30,SKU_1,156
2024-05-01,SKU_1,157
2024-05-02,SKU_1,161
2024-05-03,SKU_1,151
2024-05-04,SKU_1,149
2024-05-05,SKU_1,148
2024-05-06,SKU_1,148
2024-05-07,SKU_1,139
2024-05-08,SKU_1,138
2024-05-09,SKU_1,127
2024-05-10,SKU_1,155
2024-05-11,SKU_1,148
2024-05-12,SKU_1,135
2024-05-13,SKU_1,121
2024-05-14,SKU_1,140
2024-05-15,SKU_1,119
2024-05-16,SKU_1,131
2024-05-17,SKU_1,133
2024-05-18,SKU_1,119
