Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag
2023-01-01,SKU_1,WH_3,SUP_3,West,53,795,11,406,0,6.16,35.99,0,0
2023-01-02,SKU_1,WH_3,SUP_3,West,55,740,9,406,0,8.67,19.13,0,0
2023-01-03,SKU_1,WH_3,SUP_3,West,53,687,9,406,0,17.24,14.18,0,0
2023-01-04,SKU_1,WH_3,SUP_3,West,60,627,3,406,0,20.7,15.99,0,0
2023-01-05,SKU_1,WH_3,SUP_3,West,58,569,12,406,0,17.15,15.12,0,0
2023-01-06,SKU_1,WH_3,SUP_3,West,68,501,15,406,0,6.95,30.53,1,0
2023-01-07,SKU_1,WH_3,SUP_3,West,54,447,7,406,0,5.69,37.28,0,0
2023-01-08,SKU_1,WH_3,SUP_3,West,49,978,16,406,580,15.93,15.55,0,0
2023-01-09,SKU_1,WH_3,SUP_3,West,60,918,15,406,0,23.44,12.65,0,0
2023-01-10,SKU_1,WH_3,SUP_3,West,63,855,10,406,0,12.77,18.14,0,0
2023-01-11,SKU_1,WH_3,SUP_3,West,58,797,8,406,0,15.85,14.23,0,0
2023-01-12,SKU_1,WH_3,SUP_3,West,58,739,14,406,0,5.11,34.46,0,0
2023-01-13,SKU_1,WH_3,SUP_3,West,62,677,15,406,0,6.48,20.75,0,0
2023-01-14,SKU_1,WH_3,SUP_3,West,57,620,15,406,0,11.62,11.91,0,0
2023-01-15,SKU_1,WH_3,SUP_3,West,62,558,8,406,0,17.75,36.62,0,0
2023-01-16,SKU_1,WH_3,SUP_3,West,62,496,9,406,0,20.22,26.84,0,0
2023-01-17,SKU_1,WH_3,SUP_3,West,81,415,8,406,0,13.55,10.76,0,0
2023-01-18,SKU_1,WH_3,SUP_3,West,66,929,10,406,580,15.17,37.23,0,0
2023-01-19,SKU_1,WH_3,SUP_3,West,70,859,9,406,0,9.58,12.31,0,0
2023-01-20,SKU_1,WH_3,SUP_3,West,61,798,16,406,0,22.43,34.11,0,0
2023-01-21,SKU_1,WH_3,SUP_3,West,57,741,15,406,0,21.15,36.88,0,0
2023-01-22,SKU_1,WH_3,SUP_3,West,56,685,10,406,0,13.54,34.54,0,0
2023-01-23,SKU_1,WH_3,SUP_3,West,61,624,11,406,0,13.35,16.66,0,0
2023-01-24,SKU_1,WH_3,SUP_3,West,68,556,11,406,0,11.46,25.56,0,0
2023-01-25,SKU_1,WH_3,SUP_3,West,68,488,11,406,0,24.25,17.55,0,0
2023-01-26,SKU_1,WH_3,SUP_3,West,59,429,8,406,0,5.74,28.29,0,0
2023-01-27,SKU_1,WH_3,SUP_3,West,59,950,13,406,580,14.79,39.57,0,0
2023-01-28,SKU_1,WH_3,SUP_3,West,63,887,15,406,0,9.75,31.85,0,0
2023-01-29,SKU_1,WH_3,SUP_3,West,65,822,17,406,0,15.72,12.71,0,0
2023-01-30,SKU_1,WH_3,SUP_3,West,57,765,9,406,0,5.82,27.73,0,0
2023-01-31,SKU_1,WH_3,SUP_3,West,67,698,10,406,0,9.53,29.36,0,0
2023-02-01,SKU_1,WH_3,SUP_3,West,63,635,18,406,0,23.73,14.13,0,0
2023-02-02,SKU_1,WH_3,SUP_3,West,63,572,14,406,0,18.2,34.52,0,0
2023-02-03,SKU_1,WH_3,SUP_3,West,53,519,12,406,0,6.86,36.92,0,0
2023-02-04,SKU_1,WH_3,SUP_3,West,51,468,16,406,0,11.98,31.78,0,0
2023-02-05,SKU_1,WH_3,SUP_3,West,61,407,13,406,0,17.84,12.52,0,0
2023-02-06,SKU_1,WH_3,SUP_3,West,65,342,15,406,0,7.03,29.91,0,0
2023-02-07,SKU_1,WH_3,SUP_3,West,83,839,7,406,580,18.04,16.73,1,0
2023-02-08,SKU_1,WH_3,SUP_3,West,65,774,7,406,0,19.93,29.49,0,0
2023-02-09,SKU_1,WH_3,SUP_3,West,70,704,19,406,0,6.87,21.03,0,0
2023-02-10,SKU_1,WH_3,SUP_3,West,66,638,11,406,0,17.62,33.84,0,0
2023-02-11,SKU_1,WH_3,SUP_3,West,58,580,22,406,0,8.9,31.67,0,0
2023-02-12,SKU_1,WH_3,SUP_3,West,61,519,11,406,0,8.54,38.21,0,0
2023-02-13,SKU_1,WH_3,SUP_3,West,63,456,14,406,0,5.31,37.85,0,0
2023-02-14,SKU_1,WH_3,SUP_3,West,66,970,15,406,580,22.02,19.51,0,0
2023-02-15,SKU_1,WH_3,SUP_3,West,73,897,12,406,0,18.92,27.1,0,0
2023-02-16,SKU_1,WH_3,SUP_3,West,82,815,7,406,0,22.55,32.22,1,0
2023-02-17,SKU_1,WH_3,SUP_3,West,58,757,17,406,0,10.87,34.28,0,0
2023-02-18,SKU_1,WH_3,SUP_3,West,63,694,27,406,0,20.97,29.5,0,0
